scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
iTst_285_1e3,1,5000,500,1000,122,0.0,1.0,-1.0,-0.037,-0.0244
iTst_286_1e3,1,5000,500,1000,141,1.0,13.0,-0.8571,-0.4138,-0.2222
iTst_287_1e3,1,5000,500,1000,139,1.0,2.0,-0.3333,-0.0333,-0.0286
iTst_288_1e3,1,5000,500,1000,165,0.0,0.0,nan,0.0,0.0
iTst_289_1e3,1,5000,500,1000,136,0.0,1.0,-1.0,-0.0303,-0.0213
iTst_290_1e3,1,5000,500,1000,120,1.0,1.0,0.0,0.0,0.0
iTst_291_1e3,1,5000,500,1000,198,0.0,12.0,-1.0,-0.4,-0.2222
iTst_29_1e3,1,5000,500,1000,148,1.0,1.0,0.0,0.0,0.0
iTst_292_1e3,1,5000,500,1000,157,0.0,0.0,nan,0.0,0.0
iTst_293_1e3,1,5000,500,1000,157,0.0,0.0,nan,0.0,0.0
iTst_294_1e3,1,5000,500,1000,131,0.0,0.0,nan,0.0,0.0
iTst_295_1e3,1,5000,500,1000,122,2.0,0.0,1.0,0.0769,0.0556
iTst_296_1e3,1,5000,500,1000,137,1.0,2.0,-0.3333,-0.0385,-0.0222
iTst_297_1e3,1,5000,500,1000,149,1.0,0.0,1.0,0.027,0.0208
iTst_298_1e3,1,5000,500,1000,143,1.0,14.0,-0.8667,-0.325,-0.2131
iTst_299_1e3,1,5000,500,1000,132,1.0,7.0,-0.75,-0.1935,-0.1176
iTst_300_1e3,1,5000,500,1000,127,1.0,0.0,1.0,0.0294,0.0256
iTst_301_1e3,1,5000,500,1000,171,0.0,48.0,-1.0,-1.1429,-0.5106
iTst_30_1e3,1,5000,500,1000,140,1.0,1.0,0.0,0.0,0.0
iTst_302_1e3,1,5000,500,1000,165,2.0,0.0,1.0,0.0606,0.0465
iTst_303_1e3,1,5000,500,1000,152,0.0,1.0,-1.0,-0.0333,-0.0227
iTst_304_1e3,1,5000,500,1000,132,0.0,0.0,nan,0.0,0.0
iTst_305_1e3,1,5000,500,1000,148,1.0,6.0,-0.7143,-0.1613,-0.1064
iTst_306_1e3,1,5000,500,1000,123,0.0,0.0,nan,0.0,0.0
iTst_307_1e3,1,5000,500,1000,170,2.0,0.0,1.0,0.0571,0.0435
iTst_308_1e3,1,5000,500,1000,162,0.0,0.0,nan,0.0,0.0
iTst_309_1e3,1,5000,500,1000,177,1.0,2.0,-0.3333,-0.0204,-0.0139
